user_id,age,income,loan_amount,loan_term_months,credit_score,employment_years,is_self_employed,region,default
user_1,39,62569,15282,12,613,10,0,South,0
user_2,63,48173,12211,12,661,10,0,West,0
user_3,61,23216,21650,48,651,5,0,West,1
user_4,49,44328,10562,36,695,14,0,North,0
user_5,26,62619,24847,36,679,1,1,South,0
user_6,45,42870,11327,12,764,2,1,West,0
user_7,44,40711,8608,24,669,4,0,South,0
user_8,45,58977,9248,12,548,10,0,North,0
user_9,36,88968,9451,36,598,11,0,West,0
user_10,36,73694,13817,12,632,2,0,North,1
user_11,26,65717,12659,36,815,8,0,West,1
user_12,57,63769,20123,48,678,2,0,North,0
user_13,41,71023,19410,12,724,1,0,North,0
user_14,24,57797,13882,12,720,5,0,East,1
user_15,54,51778,30516,48,629,5,0,West,0
user_16,48,74763,13816,48,608,16,0,West,0
user_17,58,55492,14482,24,705,7,0,West,0
user_18,61,36228,8612,48,591,0,1,South,0
user_19,48,88866,14597,24,719,7,0,East,0
user_20,37,22601,16487,48,675,14,0,South,0
user_21,34,90366,9078,36,704,17,0,West,0
user_22,27,70129,12506,12,692,12,0,East,0
user_23,42,40616,16635,48,694,7,1,North,0
user_24,21,60485,12375,36,684,19,0,East,0
user_25,49,51422,11329,48,691,17,1,North,0
user_26,51,76154,18910,12,681,12,1,West,0
user_27,50,75758,8589,48,624,13,1,West,1
user_28,35,69227,9560,48,664,14,0,North,0
user_29,38,74927,15886,12,766,5,0,East,0
user_30,55,57703,19230,48,692,0,0,South,0
user_31,50,95233,16527,12,725,6,0,East,0
user_32,54,84472,13880,24,640,0,0,North,1
user_33,62,50459,13473,48,639,14,0,North,0
user_34,31,76217,20052,36,631,5,0,South,1
user_35,47,74471,19295,48,626,4,1,South,0
user_36,44,54804,15249,12,615,11,0,South,1
user_37,55,53234,13611,12,689,2,0,North,1
user_38,59,84290,15176,36,665,19,0,West,0
user_39,28,59706,11364,36,715,13,0,East,0
user_40,38,65203,14249,12,667,5,0,South,0
user_41,33,88022,12552,24,583,3,0,North,0
user_42,44,110666,14495,24,697,14,0,East,0
user_43,43,49467,12731,12,598,16,0,South,0
user_44,32,55581,17619,24,688,4,0,West,0
user_45,50,61480,19092,36,649,5,0,East,0
user_46,51,61934,13101,24,689,9,0,East,0
user_47,48,67527,10940,36,622,8,0,North,0
user_48,42,50196,18558,48,711,3,0,North,1
user_49,64,34676,15923,36,681,8,0,North,1
user_50,48,95076,13166,48,666,7,1,West,0
user_51,33,72241,21877,36,612,2,1,East,0
user_52,45,51629,12174,36,752,19,0,South,0
user_53,64,68742,5035,24,643,0,0,West,1
user_54,27,96659,11460,36,690,19,0,South,0
user_55,26,44239,23091,12,642,4,1,South,0
user_56,44,64222,13411,48,831,2,0,North,0
user_57,39,32202,12422,48,685,3,0,South,0
user_58,39,57633,15133,36,655,18,1,South,0
user_59,56,72331,20055,12,704,14,0,West,0
user_60,29,37705,14585,36,710,18,0,North,0
user_61,56,56255,17956,36,695,15,0,South,0
user_62,58,75998,14053,24,667,7,0,South,0
user_63,60,71784,17996,36,697,13,1,South,0
user_64,49,36847,15901,36,673,4,0,East,0
user_65,44,67475,13010,24,678,0,0,East,0
user_66,25,71174,16290,24,648,18,0,North,0
user_67,62,62159,12287,12,621,4,0,West,0
user_68,46,81786,8109,24,702,2,0,North,1
user_69,34,48211,14900,48,704,16,0,East,0
user_70,59,68249,8553,48,731,6,0,North,0
user_71,49,36695,17987,12,681,16,0,West,0
user_72,26,27987,14812,36,671,12,0,North,0
user_73,27,75621,22116,12,623,13,0,South,1
user_74,57,60411,13348,24,678,11,0,West,0
user_75,38,50731,14899,36,694,10,0,West,0
user_76,43,38696,7651,12,607,0,0,West,1
user_77,64,76542,9479,12,722,2,0,North,0
user_78,58,29839,6606,48,651,11,0,North,1
